Tweet,Keyword
"As uptake of Covid-19 vaccines drops, Pfizer doses to be supplied on demand

https://t.co/Ne6452fyPi — by @arjunpoudeltkp",COVID-19
"OPINION: Applying the Covid-19 blueprint to cholera

We have the tools we need to defeat cholera, but we must still do the research that is required to identify how, when, and where to use them.

https://t.co/3TI5tD4HtD — by Md Taufiqul Islam &amp; Firdausi Quadri",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
"Thousands of paediatric Covid-19 doses expire

As health workers refused to give shelf life-extended jabs to children aged 5 to 11, many are still deprived of shots.

https://t.co/Fgs10yn26G — by @arjunpoudeltkp",COVID-19
"Whole of Shanghai enters Covid lockdown despite lower symptomatic cases

The broader lockdown came after testing saw asymptomatic Covid-19 cases surge to more than 13,000. Symptomatic cases fell on Monday to 268, from 425 the previous day.

https://t.co/HmkjJbFZl3",COVID-19
"Nepal reports 814 new Covid-19 cases

Number of active cases stands at 5,144.

https://t.co/YVKCngv9wm",COVID-19
"Nepal reports 63 new Covid-19 cases

According to the ministry, 985,234 infected people have recovered from the disease so far. The number of active cases stands at 1,966.

https://t.co/JXSehuRyLr",COVID-19
"Nepal receives over 2.2 million paediatric doses of Covid-19 vaccine from COVAX

The facility will supply 8.4 million Pfizer doses for the age group. Vaccination will start from June 23.

https://t.co/TbqisDe1r0 — by @arjunpoudeltkp",COVID-19
"The Chinese capital Beijing shut dozens of metro stations and bus routes on Wednesday in its campaign to stop the spread of Covid-19 and avoid the fate of Shanghai where millions of residents have been under strict lockdown for more than a month.

https://t.co/NsLGidjDf1",COVID-19
"Nepal reports 300 new Covid-19 cases

According to the ministry, 983,703 infected people have recovered from the disease so far. The number of active cases stands at 2,457.

https://t.co/X2ptqUAagf",COVID-19
"India registered about 475,000 more total deaths in 2020 than the previous year, government data released months ahead of schedule on Tuesday showed, as the WHO readies its estimates of excess Covid-19 deaths whose methodology New Delhi has opposed.

https://t.co/lL4cagmyDR",COVID-19
"Multidimensional poverty slumped in Nepal before Covid-19, global report says

Earlier, a national report had warned that the Covid-19 pandemic could disrupt the past gains. https://t.co/5m2WH8trKr — by @journoprithvi",COVID-19
"Nepal reports 43 new Covid-19 cases

The number of active cases stands at 181.

https://t.co/YRkWyEwmDS",COVID-19
"Asian Development Bank scales down growth forecast for Nepal to 4.1 percent

Tighter monetary policy, slackened demand, unwinding of Covid-19 stimulus and global headwinds caused downturn, it said.

https://t.co/TiIdbJzrOT",COVID-19
"OPINION: The pandemic years

Covid-19 exposed a deep divide in how people perceive pandemics, science and vaccination.

https://t.co/70sa0xXpwH — by @sujeevshakya",COVID-19
"Nepal reports 16 new Covid-19 cases

The number of active cases stands at 109.

https://t.co/290bTVYR7r",COVID-19
"OPINION: How China won the battle against Covid-19

The Chinese government has provided hundreds of billions of anti-pandemic materials to 153 countries.

https://t.co/8TQXQQRrRq — by @PRCAmbNepal",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
"Nepal reports 229 new Covid-19 cases

The number of active cases stands at 1,284.

https://t.co/Ziy7s9Nx6A",COVID-19
"As uptake of Covid-19 vaccines drops, Pfizer doses to be supplied on demand

https://t.co/agXSRR1CLu — by @arjunpoudeltkp",COVID-19
"Nepal reports 638 new Covid-19 cases

Two new deaths were reported in the last 24 hours. Number of active cases stands at 3,714.

https://t.co/dEtA1R1NYX",COVID-19
"Nepal reports 620 new Covid-19 cases

One new death was reported in the last 24 hours. Number of active cases stands at 4,369.

https://t.co/IW7xRoo7Xq",COVID-19
"Nepal logs 17 new Covid-19 cases

According to the Health Ministry, 962,582 infected people have recovered from the disease so far and the number of active cases stands at 3,595.

https://t.co/3KtwGymlu8",COVID-19
"Nepal reports 13 new Covid-19 cases

According to the Health Ministry, 966,823 infected people have recovered from the disease so far and the number of active cases stands at 185.

https://t.co/XAIMqjARrP",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
"Growing food shortages may represent the same health threat to the world as the Covid-19 pandemic, a leading global health figure has warned.

https://t.co/nL10zmdE3J",COVID-19
"Nepal logs 21 new Covid-19 cases

According to the Health Ministry, 965,142 infected people have recovered from the disease so far and the number of active cases stands at 1,254.

https://t.co/oP6yK57EEN",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
"Nepal reports 553 new Covid-19 cases

Number of active cases stands at 5,659.

https://t.co/oEUKYnKp9f",COVID-19
"Nepal reports 152 new Covid-19 cases

According to the ministry, 984,082 infected people have recovered from the disease so far. The number of active cases stands at 2,448.

https://t.co/BszNja1vAL",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
"Nepal reports 1090 new Covid-19 cases

Two new deaths were reported in the last 24 hours. Number of active cases stands at 5,806.

https://t.co/hJFlZP3awo",COVID-19
"The World Bank on Tuesday slashed its global growth forecast by nearly a third to 2.9 percent for 2022, warning that Russia’s invasion of Ukraine has compounded the damage from the Covid-19 pandemic, and many countries now faced recession.

https://t.co/HwTZeIYgbQ",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
"Nepal reports 29 new Covid-19 cases

The number of active cases stands at 192.

https://t.co/lgiN7um7BE",COVID-19
"Nepal reports four new Covid-19 cases

According to the Health Ministry, 966,857 infected people have recovered from the disease so far and the number of active cases stands at 173.

https://t.co/CT8Rwi51Qs",COVID-19
"Nepal reports 299 new Covid-19 cases

Two new deaths were reported in the last 24 hours. Number of active cases stands at 4,625.

https://t.co/SoADn2kp4n",COVID-19
"Nepal logs 13 new Covid-19 cases

According to the Health Ministry, 965,822 infected people have recovered from the disease so far and the number of active cases stands at 765.

https://t.co/JDdcbaOQqe",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
"President Bidya Devi Bhandari, who has been undergoing treatment at the Tribhuvan University Teaching Hospital, has tested positive for Covid-19.

https://t.co/DBMkYkzqgv",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
"Nepal reports 106 new Covid-19 cases, one death

The number of active cases stands at 414, with seven infected with the virus being treated in intensive care units while three others are on ventilator support.

https://t.co/uB0HP7AHPD",COVID-19
"Hong Kong drops curbs on incoming travellers, scraps Covid app

The news of a further loosening of Covid-19 curbs in the global financial hub, which has trailed most of the world in easing them, is set to boost the resumption of travel and business.

https://t.co/RKREzQdCGO",COVID-19
"Nepal reports 934 new Covid-19 cases

Number of active cases stands at 5,686.

https://t.co/tDGdHQWuv4",COVID-19
"OPINION: On shifting disease presentation

We need to investigate the prevalence of several infectious diseases in the aftermath of the Covid-19 pandemic. https://t.co/VWTStgMPBK — by Dr Sher Bahadur Pun",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
"Nepal reports 45 new Covid-19 cases

According to the ministry, 986,617 infected people have recovered from the disease so far. The number of active cases stands at 1,077.

https://t.co/ESIrR0tTPO",COVID-19
"US health agency puts Nepal on its ‘high risk’ list

The agency suggests travellers who plan to visit Nepal must be up-to-date with Covid-19 vaccines before travelling. 

https://t.co/mGydSt4E3E — by @arjunpoudeltkp",COVID-19
"Nepal logs 22 new Covid-19 cases

According to the Health Ministry, 966,074 infected people have recovered from the disease so far and the number of active cases stands at 568.

https://t.co/ECDn78jG20",COVID-19
"Nepal logs 33 new Covid-19 cases

According to the Health Ministry, 965,714 infected people have recovered from the disease so far and the number of active cases stands at 842.

https://t.co/fa3SlnRdUy",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
"Nepal logs 45 new Covid-19 cases

According to the Health Ministry, 963,111 infected people have recovered from the disease so far and the number of active cases stands at 3,135.

https://t.co/Y8Hc5iQ3Qa",COVID-19
"Nepal reports 760 new Covid-19 cases

One new death was reported in the last 24 hours. Number of active cases stands at 5,602.

https://t.co/JpQRG026ls",COVID-19
"Nepal reports 14 new Covid-19 cases

The number of active cases stands at 101.

https://t.co/eraa8ReZVC",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
"Nepal reports 74 new Covid-19 cases

According to the ministry, 986,235 infected people have recovered from the disease so far. The number of active cases stands at 1,283.

https://t.co/rZcPuD4DAT",COVID-19
"Nepal reports 227 new Covid-19 cases

According to the ministry, 983,949 infected people have recovered from the disease so far. The number of active cases stands at 2,473.

https://t.co/Eb9HRMqgg1",COVID-19
"Nepal reports 32 new Covid-19 cases

According to the Health Ministry, 966,697 infected people have recovered from the disease so far and the number of active cases stands at 217.

https://t.co/Un67dDjK9L",COVID-19
"Nepal records first Covid-19 death in 73 days

On Sunday, the country reported 135 new cases of infection.

https://t.co/IHPdTQmu6p — by @arjunpoudeltkp",COVID-19
"Nepal reports 90 new Covid-19 cases

The number of active cases stands at 401.

https://t.co/QbN07sWr3o",COVID-19
"Nepal logs 23 new Covid-19 cases

According to the Health Ministry, 964,823 infected people have recovered from the disease so far and the number of active cases stands at 1,558.

https://t.co/8b0hu7yvv0",COVID-19
"As dengue becomes endemic to Nepal, infection, mortality risks escalate

Experts warn a lethargic approach to taming the disease could spell trouble after the havoc caused by Covid-19.

https://t.co/mjwnTnhNYb — by @arjunpoudeltkp",COVID-19
"Nepal reports 14 new Covid-19 cases

According to the Health Ministry, 966,768 infected people have recovered from the disease so far and the number of active cases stands at 205.

https://t.co/mJnebcIobR",COVID-19
"Nepal reports 22 new Covid-19 cases

The number of active cases stands at 112.

https://t.co/ftYWO68dQP",COVID-19
"Djokovic’s 22nd Grand Slam triumph, now matching Rafa Nadal, was the ultimate redemption a year on from his sensational deportation from Australia on the eve of the Grand Slam due to his lack of Covid-19 vaccination.

https://t.co/f2qpLe2Hpl",COVID-19
"Nepal reports 17 new Covid-19 cases

According to the Health Ministry, 966,730 infected people have recovered from the disease so far and the number of active cases stands at 217.

https://t.co/RuBpl5BgJm",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
